,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,Heaves,Heaves,,-additional
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
1,DeMar DeRozan,34,CHI,SF,79,79,2989,.480,13.2,.834,.182,.172,.250,.230,.166,.509,.684,.494,.490,.402,.333,.282,.853,.019,18,.316,.394,1,0,CPOY-2,derozde01
2,Domantas Sabonis,27,SAC,C,82,82,2928,.594,6.2,.919,.455,.361,.070,.032,.081,.613,.722,.516,.467,.471,.379,.607,.909,.113,111,.057,.200,0,0,MVP-8DPOY-10NBA3,sabondo01
3,Coby White,23,CHI,PG,79,78,2881,.447,15.5,.540,.250,.156,.085,.050,.460,.508,.656,.362,.485,.267,.376,.289,.833,.012,14,.126,.400,4,0,,whiteco01
4,Mikal Bridges,27,BRK,SF,82,82,2854,.436,15.9,.543,.165,.163,.158,.056,.457,.490,.668,.398,.468,.292,.372,.494,.882,.016,20,.338,.405,5,1,,bridgmi01
5,Paolo Banchero,21,ORL,PF,80,80,2799,.455,12.6,.751,.225,.235,.183,.108,.249,.493,.703,.403,.395,.421,.339,.363,.655,.063,80,.068,.250,2,0,AS,banchpa01
6,Kevin Durant,35,PHO,PF,75,75,2791,.523,15.0,.717,.125,.153,.279,.160,.283,.567,.827,.530,.491,.530,.413,.511,.815,.054,75,.165,.463,0,0,MVP-9ASNBA2,duranke01
7,Dejounte Murray,27,ATL,SG,78,78,2783,.459,14.9,.621,.170,.191,.181,.079,.379,.518,.581,.464,.521,.509,.363,.261,.706,.011,14,.222,.431,1,0,,murrade01
8,Anthony Edwards,22,MIN,SG,79,78,2770,.461,14.1,.659,.228,.192,.125,.114,.341,.515,.707,.438,.446,.333,.357,.331,.558,.051,67,.086,.348,5,0,MVP-7CPOY-8ASNBA2,edwaran01
9,Nikola Jokić,28,DEN,C,79,79,2737,.583,9.7,.836,.260,.404,.115,.057,.164,.626,.741,.614,.537,.370,.359,.572,.807,.013,17,.035,.250,8,0,MVP-1CPOY-4ASNBA1,jokicni01
10,Jalen Brunson,27,NYK,PG,77,77,2726,.479,14.3,.681,.127,.275,.189,.090,.319,.516,.636,.519,.474,.426,.401,.230,.583,.002,3,.131,.464,1,0,MVP-5CPOY-5ASNBA2,brunsja01
11,Josh Hart,28,NYK,SF,81,42,2707,.434,12.8,.620,.321,.169,.100,.029,.380,.511,.661,.339,.382,.300,.310,.633,.888,.016,10,.240,.339,1,0,,hartjo01
12,Anthony Davis,30,LAL,C,76,76,2700,.556,8.0,.917,.369,.309,.150,.090,.083,.582,.774,.487,.432,.365,.271,.670,.966,.162,196,.150,.125,0,0,DPOY-4ASNBA2,davisan02
13,Fred VanVleet,29,HOU,PG,73,73,2684,.416,19.9,.424,.093,.123,.073,.136,.576,.454,.505,.384,.459,.478,.387,.219,.568,.000,0,.090,.491,8,0,,vanvlfr01
14,De'Aaron Fox,26,SAC,PG,74,74,2659,.465,15.0,.626,.134,.248,.172,.072,.374,.522,.720,.534,.423,.351,.369,.198,.626,.017,24,.134,.436,1,0,CPOY-12,foxde01
15,Pascal Siakam,29,2TM,PF,80,80,2657,.536,9.9,.806,.304,.312,.129,.061,.194,.581,.739,.515,.445,.423,.346,.507,.976,.033,40,.297,.466,0,0,,siakapa01
15,Pascal Siakam,29,TOR,PF,39,39,1354,.522,10.7,.767,.284,.307,.125,.051,.233,.584,.768,.503,.474,.313,.317,.530,.978,.037,22,.276,.475,0,0,,siakapa01
15,Pascal Siakam,29,IND,PF,41,41,1303,.549,9.1,.844,.324,.316,.133,.071,.156,.580,.714,.527,.419,.500,.386,.486,.974,.029,18,.327,.455,0,0,,siakapa01
16,Jayson Tatum,25,BOS,PF,74,74,2645,.471,15.4,.573,.222,.167,.092,.092,.427,.542,.741,.441,.389,.397,.376,.357,.485,.065,86,.059,.361,0,0,MVP-6CPOY-9ASNBA1,tatumja01
17,Austin Reaves,25,LAL,SG,82,57,2629,.486,16.1,.553,.179,.193,.118,.064,.447,.583,.810,.519,.450,.383,.367,.409,.675,.014,13,.143,.317,3,0,,reaveau01
18,Tyrese Maxey,23,PHI,PG,70,70,2626,.450,14.7,.599,.222,.229,.092,.056,.401,.501,.667,.406,.392,.413,.373,.343,.599,.004,6,.072,.610,3,0,MIP-1AS,maxeyty01
19,Luka Dončić,24,DAL,PG,70,70,2624,.487,16.9,.550,.123,.192,.152,.082,.450,.573,.838,.569,.442,.422,.382,.177,.299,.001,2,.032,.250,5,0,MVP-3CPOY-6ASNBA1,doncilu01
